variant,step,fact_id,condition,control,layer,flipped,logit_diff,first_flip_layer,first_positive_diff_layer
final,535,cf_863,latent,self,17,False,3.231931686401367,,
final,535,cf_863,latent,self,18,False,3.231931686401367,,
final,535,cf_863,latent,self,19,False,3.231931686401367,,
final,535,cf_863,latent,self,20,False,3.231931686401367,,
final,535,cf_863,latent,self,21,False,3.231931686401367,,
final,535,cf_863,latent,self,22,False,3.231931686401367,,
final,535,cf_863,latent,self,23,False,3.231931686401367,,
final,535,cf_863,latent,self,24,False,3.117495536804199,,
final,535,cf_863,latent,self,-1,False,,,0.0
final,535,cf_10230,latent,self,0,False,1.9077835083007812,,
final,535,cf_10230,latent,self,1,False,1.9077835083007812,,
final,535,cf_10230,latent,self,2,False,1.9077835083007812,,
final,535,cf_10230,latent,self,3,False,1.9077835083007812,,
final,535,cf_10230,latent,self,4,False,1.9077835083007812,,
final,535,cf_10230,latent,self,5,False,1.9077835083007812,,
final,535,cf_10230,latent,self,6,False,1.9077835083007812,,
final,535,cf_10230,latent,self,7,False,1.9077835083007812,,
final,535,cf_10230,latent,self,8,False,1.9077835083007812,,
final,535,cf_10230,latent,self,9,False,1.9077835083007812,,
final,535,cf_10230,latent,self,10,False,1.9077835083007812,,
final,535,cf_10230,latent,self,11,False,1.9077835083007812,,
final,535,cf_10230,latent,self,12,False,1.9077835083007812,,
final,535,cf_10230,latent,self,13,False,1.9077835083007812,,
final,535,cf_10230,latent,self,14,False,1.9077835083007812,,
final,535,cf_10230,latent,self,15,False,1.9077835083007812,,
final,535,cf_10230,latent,self,16,False,1.9077835083007812,,
final,535,cf_10230,latent,self,17,False,1.9077835083007812,,
final,535,cf_10230,latent,self,18,False,1.9077835083007812,,
final,535,cf_10230,latent,self,19,False,1.9077835083007812,,
final,535,cf_10230,latent,self,20,False,1.9077835083007812,,
final,535,cf_10230,latent,self,21,False,1.9077835083007812,,
final,535,cf_10230,latent,self,22,False,1.9077835083007812,,
final,535,cf_10230,latent,self,23,False,1.9077835083007812,,
final,535,cf_10230,latent,self,24,False,1.5566635131835938,,
final,535,cf_10230,latent,self,-1,False,,,0.0
final,535,cf_4457,latent,self,0,False,7.22286319732666,,
final,535,cf_4457,latent,self,1,False,7.22286319732666,,
final,535,cf_4457,latent,self,2,False,7.22286319732666,,
final,535,cf_4457,latent,self,3,False,7.22286319732666,,
final,535,cf_4457,latent,self,4,False,7.22286319732666,,
final,535,cf_4457,latent,self,5,False,7.22286319732666,,
final,535,cf_4457,latent,self,6,False,7.22286319732666,,
final,535,cf_4457,latent,self,7,False,7.22286319732666,,
final,535,cf_4457,latent,self,8,False,7.22286319732666,,
final,535,cf_4457,latent,self,9,False,7.22286319732666,,
final,535,cf_4457,latent,self,10,False,7.22286319732666,,
final,535,cf_4457,latent,self,11,False,7.22286319732666,,
final,535,cf_4457,latent,self,12,False,7.22286319732666,,
final,535,cf_4457,latent,self,13,False,7.22286319732666,,
final,535,cf_4457,latent,self,14,False,7.22286319732666,,
final,535,cf_4457,latent,self,15,False,7.22286319732666,,
final,535,cf_4457,latent,self,16,False,7.22286319732666,,
final,535,cf_4457,latent,self,17,False,7.22286319732666,,
final,535,cf_4457,latent,self,18,False,7.22286319732666,,
final,535,cf_4457,latent,self,19,False,7.22286319732666,,
final,535,cf_4457,latent,self,20,False,7.22286319732666,,
final,535,cf_4457,latent,self,21,False,7.22286319732666,,
final,535,cf_4457,latent,self,22,False,7.22286319732666,,
final,535,cf_4457,latent,self,23,False,7.22286319732666,,
final,535,cf_4457,latent,self,24,False,7.0516510009765625,,
final,535,cf_4457,latent,self,-1,False,,,0.0
final,535,cf_17408,latent,mismatched,0,False,5.184399604797363,,
final,535,cf_17408,latent,mismatched,1,False,0.7120790481567383,,
final,535,cf_17408,latent,mismatched,2,False,0.7940530776977539,,
final,535,cf_17408,latent,mismatched,3,False,1.0141468048095703,,
final,535,cf_17408,latent,mismatched,4,False,1.0621833801269531,,
final,535,cf_17408,latent,mismatched,5,False,0.9537210464477539,,
final,535,cf_17408,latent,mismatched,6,False,0.975865364074707,,
final,535,cf_17408,latent,mismatched,7,False,1.0597896575927734,,
final,535,cf_17408,latent,mismatched,8,False,1.122955322265625,,
final,535,cf_17408,latent,mismatched,9,False,1.2211799621582031,,
final,535,cf_17408,latent,mismatched,10,False,1.271653175354004,,
final,535,cf_17408,latent,mismatched,11,False,1.406820297241211,,
final,535,cf_17408,latent,mismatched,12,False,1.6219654083251953,,
final,535,cf_17408,latent,mismatched,13,False,2.3175106048583984,,
final,535,cf_17408,latent,mismatched,14,False,2.466496467590332,,
final,535,cf_17408,latent,mismatched,15,False,2.3756790161132812,,
final,535,cf_17408,latent,mismatched,16,False,1.6629581451416016,,
final,535,cf_17408,latent,mismatched,17,False,1.6793413162231445,,
final,535,cf_17408,latent,mismatched,18,False,-0.04250001907348633,,
final,535,cf_17408,latent,mismatched,19,False,0.6424999237060547,,
final,535,cf_17408,latent,mismatched,20,False,1.2058520317077637,,
final,535,cf_17408,latent,mismatched,21,False,1.224104404449463,,
final,535,cf_17408,latent,mismatched,22,False,0.43526458740234375,,
final,535,cf_17408,latent,mismatched,23,False,0.1804513931274414,,
final,535,cf_17408,latent,mismatched,24,False,0.7024650573730469,,
final,535,cf_17408,latent,mismatched,-1,False,,,0.0
final,535,cf_15306,latent,mismatched,0,False,3.5196285247802734,,
final,535,cf_15306,latent,mismatched,1,False,4.150876998901367,,
final,535,cf_15306,latent,mismatched,2,False,4.033109188079834,,
final,535,cf_15306,latent,mismatched,3,False,3.7812118530273438,,
final,535,cf_15306,latent,mismatched,4,False,3.5698437690734863,,
